trace_id,cap,thpt,util%,d95,davg
102-192-10-20-170,102.27,90.88666666666666,88.86666666666667,17.666666666666668,5.333333333333333
108-192-10-20-180,108.29,91.60333333333331,84.56666666666666,17.666666666666668,5.333333333333333
114-192-10-20-190,114.3,99.85666666666667,87.36666666666667,17.0,5.0
12-192-10-20-20,12.03,10.219999999999999,85.0,17.0,5.0
120-192-10-20-200,120.32,102.11,84.83333333333333,17.666666666666668,5.0
126-192-10-20-210,126.33999999999999,109.34666666666665,86.53333333333335,17.666666666666668,5.0
132-192-10-20-220,132.35,118.61333333333333,89.60000000000001,16.333333333333332,5.333333333333333
138-192-10-20-230,138.37,122.32666666666667,88.40000000000002,16.666666666666668,5.0
144-192-10-20-240,144.38,125.96999999999998,87.23333333333335,16.333333333333332,5.0
150-192-10-20-250,150.4,128.82666666666668,85.66666666666667,17.0,5.0
156-192-10-20-260,156.42,134.16,85.76666666666665,17.0,5.333333333333333
162-192-10-20-270,162.43,142.08,87.5,16.333333333333332,5.0
168-192-10-20-280,168.45,145.06,86.13333333333333,15.666666666666666,5.0
174-192-10-20-290,174.46,149.17666666666668,85.5,16.0,5.0
18-192-10-20-30,18.05,15.38,85.23333333333333,17.0,5.333333333333333
180-192-10-20-300,180.48,155.97,86.43333333333334,16.333333333333332,5.333333333333333
186-192-10-20-310,186.5,161.45000000000002,86.56666666666666,16.0,5.0
192-192-10-20-320,192.51,168.87666666666667,87.73333333333333,16.333333333333332,5.333333333333333
24-192-10-20-40,24.06,22.246666666666666,92.46666666666668,17.0,5.666666666666667
30-192-10-20-50,30.08,26.136666666666667,86.86666666666667,18.0,5.333333333333333
36-192-10-20-60,36.1,31.540000000000003,87.36666666666666,18.0,5.0
42-192-10-20-70,42.11,39.06333333333333,92.76666666666667,18.0,6.333333333333333
48-192-10-20-80,48.13,43.21666666666667,89.80000000000001,18.0,5.666666666666667
54-192-10-20-90,54.14000000000001,49.300000000000004,91.03333333333335,18.0,5.666666666666667
6-192-10-20-10,6.02,4.593333333333333,76.3,16.333333333333332,5.333333333333333
60-192-10-20-100,60.16,53.47666666666667,88.90000000000002,18.0,5.333333333333333
66-192-10-20-110,66.18,60.796666666666674,91.86666666666667,17.666666666666668,5.666666666666667
72-192-10-20-120,72.19,66.23333333333333,91.76666666666667,18.0,6.0
78-192-10-20-130,78.21,70.98,90.73333333333335,17.666666666666668,6.0
84-192-10-20-140,84.22,73.99666666666667,87.86666666666667,17.333333333333332,5.333333333333333
90-192-10-20-150,90.24,78.97333333333334,87.53333333333335,18.0,5.333333333333333
96-192-10-20-160,96.26,82.81,86.03333333333335,18.0,5.0
